Protein_accession	uni_ipro_access	uni_ipro_desc	uni_GO_annot
CopciAB_1000146.T0	IPR018108__IPR023395	Mitochondrial substrate/solute carrier__Mitochondrial carrier domain superfamily	-__-
CopciAB_1000148.T0	IPR001202__IPR036020	WW domain__WW domain superfamily	GO:0005515__GO:0005515
CopciAB_1000149.T0	IPR000266__IPR012340	Ribosomal protein S17/S11__Nucleic acid-binding, OB-fold	GO:0003735|GO:0005840|GO:0006412__-
CopciAB_1000154.T0	IPR009730__IPR033194	Micro-fibrillar-associated protein 1, C-terminal__Microfibrillar-associated protein 1	-__-
CopciAB_1000156.T0	IPR005162	Retrotransposon gag domain	-
CopciAB_1000157.T0	IPR021109	Aspartic peptidase domain superfamily	-
CopciAB_1000160.T0	IPR032567__IPR021109__IPR043502	LDOC1-related__Aspartic peptidase domain superfamily__DNA/RNA polymerase superfamily	-__-__-
CopciAB_1000161.T0	IPR000289__IPR012340__IPR028626	Ribosomal protein S28e__Nucleic acid-binding, OB-fold__Ribosomal protein S28e conserved site	GO:0003735|GO:0005840|GO:0006412__-__-
CopciAB_1000162.T0	IPR006696	Protein of unknown function DUF423	-
CopciAB_1000164.T0	IPR001515__IPR036351	Ribosomal protein L32e__Ribosomal protein L32e superfamily	GO:0003735|GO:0005840|GO:0006412__-
CopciAB_1000167.T0	IPR000473__IPR035977	Ribosomal protein L36__Ribosomal protein L36 superfamily	GO:0003735|GO:0005840|GO:0006412__GO:0003735|GO:0005840|GO:0006412
CopciAB_1000168.T0	IPR020587__IPR020588__IPR016467__IPR010995__IPR011941__IPR027417__IPR013632__IPR003593	DNA recombination and repair protein RecA, monomer-monomer interface__DNA recombination and repair protein RecA-like, ATP-binding domain__DNA recombination and repair protein, RecA-like__DNA repair Rad51/transcription factor NusA, alpha-helical__DNA recombination/repair protein Rad51__P-loop containing nucleoside triphosphate hydrolase__DNA recombination and repair protein Rad51-like, C-terminal__AAA+ ATPase domain	GO:0003677|GO:0005524|GO:0006259|GO:0008094__GO:0003677|GO:0005524|GO:0006281|GO:0140664__-__GO:0000166__GO:0000150|GO:0000724|GO:0003690|GO:0003697|GO:0008094|GO:1990426__-__-__-
CopciAB_1000184.T0	IPR041457	CxC2-like cysteine cluster, KDZ transposase-associated	-
CopciAB_1000185.T0	IPR005162	Retrotransposon gag domain	-
CopciAB_1000218.T0	IPR046341__IPR001214	SET domain superfamily__SET domain	-__GO:0005515
CopciAB_1000224.T0	IPR011009__IPR040976	Protein kinase-like domain superfamily__Fungal-type protein kinase	-__-
CopciAB_1000243.T0	IPR013087__IPR022755__IPR036236	Zinc finger C2H2-type__Zinc finger, double-stranded RNA binding__Zinc finger C2H2 superfamily	-__-__-
CopciAB_1000254.T0	IPR027417__IPR018627	P-loop containing nucleoside triphosphate hydrolase__Elongator complex protein 6	-__GO:0002098|GO:0033588
CopciAB_1000255.T0	IPR006575__IPR016135	RWD domain__Ubiquitin-conjugating enzyme/RWD-like	GO:0005515__-
CopciAB_1000267.T0	IPR017956	AT hook, DNA-binding motif	GO:0003677
CopciAB_1000270.T0	IPR003653__IPR038765__IPR040521	Ulp1 protease family, C-terminal catalytic domain__Papain-like cysteine peptidase superfamily__Kyakuja-Dileera-Zisupton transposase	GO:0006508|GO:0008234__-__-
CopciAB_1000294.T0	IPR040648	HMG domain-containing protein 3, CxC4 like cysteine cluster	-
CopciAB_1000299.T0	IPR036742__IPR006721	ATP synthase, F1 complex, epsilon subunit superfamily, mitochondrial__ATP synthase, F1 complex, epsilon subunit, mitochondrial	GO:0000275|GO:0015986|GO:0046933__GO:0000275|GO:0015986|GO:0046933
CopciAB_1000302.T0	IPR001338	Hydrophobin	GO:0005199|GO:0009277
CopciAB_1000306.T0	IPR001394__IPR028889__IPR018200__IPR038765	Peptidase C19, ubiquitin carboxyl-terminal hydrolase__Ubiquitin specific protease domain__Ubiquitin specific protease, conserved site__Papain-like cysteine peptidase superfamily	GO:0004843|GO:0016579__-__GO:0004843|GO:0006511__-
CopciAB_1000308.T0	IPR001338	Hydrophobin	GO:0005199|GO:0009277
CopciAB_1000314.T0	IPR006995	ATP synthase, F0 complex, subunit J	GO:0015078|GO:0015986|GO:0045263
CopciAB_1000316.T0	IPR043128__IPR043502	Reverse transcriptase/Diguanylate cyclase domain__DNA/RNA polymerase superfamily	-__-
CopciAB_1000317.T0	IPR021109	Aspartic peptidase domain superfamily	-
CopciAB_1000323.T0	IPR021109	Aspartic peptidase domain superfamily	-
CopciAB_1000324.T0	IPR036875	Zinc finger, CCHC-type superfamily	GO:0003676|GO:0008270
CopciAB_1000325.T0	IPR005162__IPR032567	Retrotransposon gag domain__LDOC1-related	-__-
CopciAB_1000339.T0	IPR036875__IPR032567__IPR005162	Zinc finger, CCHC-type superfamily__LDOC1-related__Retrotransposon gag domain	GO:0003676|GO:0008270__-__-
CopciAB_1000343.T0	IPR001878__IPR036875__IPR032567	Zinc finger, CCHC-type__Zinc finger, CCHC-type superfamily__LDOC1-related	GO:0003676|GO:0008270__GO:0003676|GO:0008270__-
CopciAB_1000351.T0	IPR011766__IPR029061__IPR039368__IPR045229__IPR012846__IPR012000__IPR000399__IPR029035__IPR012001	Thiamine pyrophosphate enzyme, TPP-binding__Thiamin diphosphate-binding fold__Acetolactate synthase large subunit, TPP binding domain__Thiamine pyrophosphate enzyme__Acetolactate synthase, large subunit, biosynthetic__Thiamine pyrophosphate enzyme, central domain__TPP-binding enzyme, conserved site__DHS-like NAD/FAD-binding domain superfamily__Thiamine pyrophosphate enzyme, N-terminal TPP-binding domain	GO:0003824|GO:0030976__-__GO:0030976__-__GO:0000287|GO:0003984|GO:0009082|GO:0030976|GO:0050660__GO:0000287|GO:0030976__GO:0000287|GO:0030976__-__GO:0030976
CopciAB_1000354.T0	IPR032567__IPR001878__IPR005162__IPR036875	LDOC1-related__Zinc finger, CCHC-type__Retrotransposon gag domain__Zinc finger, CCHC-type superfamily	-__GO:0003676|GO:0008270__-__GO:0003676|GO:0008270
CopciAB_1000359.T0	IPR001878__IPR036875__IPR032567	Zinc finger, CCHC-type__Zinc finger, CCHC-type superfamily__LDOC1-related	GO:0003676|GO:0008270__GO:0003676|GO:0008270__-
CopciAB_1000373.T0	IPR011701__IPR036259	Major facilitator superfamily__MFS transporter superfamily	GO:0022857|GO:0055085__-
CopciAB_1000378.T0	IPR018999__IPR006935__IPR003593__IPR027417__IPR040812__IPR047187__IPR041679__IPR045055__IPR041677	RNA helicase UPF1, Cys/His rich zinc-binding domain__Helicase/UvrB, N-terminal__AAA+ ATPase domain__P-loop containing nucleoside triphosphate hydrolase__RNA helicase UPF1, 1B domain__Upf1-like, C-terminal helicase domain__DNA2/NAM7 helicase-like, C-terminal__DNA2/NAM7-like helicase__DNA2/NAM7 helicase, helicase domain	GO:0000184|GO:0003723|GO:0003724|GO:0005524|GO:0005737|GO:0008270__GO:0003677|GO:0005524|GO:0016787__-__-__-__-__-__-__GO:0004386
CopciAB_1000381.T0	IPR018038__IPR012988__IPR036919__IPR005998__IPR039699__IPR035808__IPR016082	Ribosomal protein L30, conserved site__Ribosomal protein L30, N-terminal__Ribosomal protein L30, ferredoxin-like fold domain superfamily__Ribosomal protein L7, eukaryotic__Ribosomal protein L7/L30__Ribosomal protein L7, eukaryotic/archaeal__Ribosomal protein L30, ferredoxin-like fold domain	-__-__-__GO:0000463|GO:0003735|GO:0022625__-__-__-
CopciAB_1000387.T0	IPR004837__IPR004713__IPR004798__IPR044880	Sodium/calcium exchanger membrane region__Calcium/proton exchanger__Calcium/proton exchanger CAX-like__NCX, central ion-binding domain superfamily	GO:0016020|GO:0055085__GO:0006812|GO:0008324|GO:0016020__GO:0006816|GO:0015369__-
CopciAB_1000391.T0	IPR036612__IPR004087	K Homology domain, type 1 superfamily__K Homology domain	GO:0003723__GO:0003676
CopciAB_1000392.T0	IPR002767__IPR029756	Thiamine-binding protein__MTH1187/YkoF-like	-__-
CopciAB_1000393.T0	IPR046522	Protein of unknown function DUF6699	-
CopciAB_1000402.T0	IPR006594__IPR006595__IPR024964__IPR013144	LIS1 homology motif__CTLH, C-terminal LisH motif__CTLH/CRA C-terminal to LisH motif domain__CRA domain	GO:0005515__-__-__-
CopciAB_1000403.T0	IPR029063__IPR013216	S-adenosyl-L-methionine-dependent methyltransferase superfamily__Methyltransferase type 11	-__GO:0008168
CopciAB_1000407.T0	IPR000326__IPR036938	Phosphatidic acid phosphatase type 2/haloperoxidase__Phosphatidic acid phosphatase type 2/haloperoxidase superfamily	-__-
CopciAB_1000410.T0	IPR038579__IPR001931	Ribosomal protein S21e superfamily__Ribosomal protein S21e	-__GO:0003735|GO:0005840|GO:0006412
CopciAB_1000413.T0	IPR000612	Proteolipid membrane potential modulator	GO:0016020
CopciAB_1000425.T0	IPR036259__IPR003663__IPR020846__IPR045263__IPR005828	MFS transporter superfamily__Sugar/inositol transporter__Major facilitator superfamily domain__Glucose transporter GLUT__Major facilitator, sugar transporter-like	-__GO:0016020|GO:0022857|GO:0055085__GO:0022857__-__GO:0016020|GO:0022857|GO:0055085
CopciAB_1000427.T0	IPR015157	Translation machinery associated TMA7	-
CopciAB_1000428.T0	IPR036784__IPR039028__IPR003594__IPR036890__IPR018955	Alpha-ketoacid/pyruvate dehydrogenase kinase, N-terminal domain superfamily__PDK/BCKDK protein kinase__Histidine kinase/HSP90-like ATPase__Histidine kinase/HSP90-like ATPase superfamily__Branched-chain alpha-ketoacid dehydrogenase kinase/Pyruvate dehydrogenase kinase, N-terminal	-__GO:0004672__-__-__-
CopciAB_1000430.T0	IPR001878__IPR036875__IPR032567	Zinc finger, CCHC-type__Zinc finger, CCHC-type superfamily__LDOC1-related	GO:0003676|GO:0008270__GO:0003676|GO:0008270__-
CopciAB_1000434.T0	IPR032567__IPR005162	LDOC1-related__Retrotransposon gag domain	-__-
CopciAB_1000441.T0	IPR021139__IPR024768	NYN domain__Meiosis regulator and mRNA stability factor 1	GO:0004540__GO:0005777|GO:0010468
CopciAB_1000455.T0	IPR001650__IPR027417	Helicase, C-terminal__P-loop containing nucleoside triphosphate hydrolase	-__-
CopciAB_1000462.T0	IPR036875__IPR005162__IPR032567	Zinc finger, CCHC-type superfamily__Retrotransposon gag domain__LDOC1-related	GO:0003676|GO:0008270__-__-
CopciAB_1000463.T0	IPR005162	Retrotransposon gag domain	-
CopciAB_1000473.T0	IPR021109	Aspartic peptidase domain superfamily	-
CopciAB_1000481.T0	IPR023389__IPR014980	DOPA-like superfamily__Dopa 4,5-dioxygenase	-__-
CopciAB_1000492.T0	IPR005162	Retrotransposon gag domain	-
CopciAB_1000494.T0	IPR032567__IPR021109__IPR043502	LDOC1-related__Aspartic peptidase domain superfamily__DNA/RNA polymerase superfamily	-__-__-
CopciAB_1000497.T0	IPR035899__IPR001849__IPR000219__IPR001331__IPR011993	Dbl homology (DH) domain superfamily__Pleckstrin homology domain__Dbl homology (DH) domain__Guanine-nucleotide dissociation stimulator, CDC24, conserved site__PH-like domain superfamily	-__-__GO:0005085__GO:0005085|GO:0035556__-
CopciAB_1000499.T0	IPR001128__IPR036396__IPR017972__IPR002401	Cytochrome P450__Cytochrome P450 superfamily__Cytochrome P450, conserved site__Cytochrome P450, E-class, group I	GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0005506|GO:0016705__GO:0004497|GO:0005506|GO:0016705|GO:0020037
CopciAB_1000500.T0	IPR046496	Domain of unknown function DUF6589	-
CopciAB_1000501.T0	IPR045340	Domain of unknown function DUF6533	-
CopciAB_1000504.T0	IPR005162	Retrotransposon gag domain	-
CopciAB_1000507.T0	IPR036875__IPR032567__IPR005162	Zinc finger, CCHC-type superfamily__LDOC1-related__Retrotransposon gag domain	GO:0003676|GO:0008270__-__-
CopciAB_1000508.T0	IPR001878__IPR036875__IPR032567	Zinc finger, CCHC-type__Zinc finger, CCHC-type superfamily__LDOC1-related	GO:0003676|GO:0008270__GO:0003676|GO:0008270__-
CopciAB_1000521.T0	IPR032567__IPR001878__IPR036875__IPR005162	LDOC1-related__Zinc finger, CCHC-type__Zinc finger, CCHC-type superfamily__Retrotransposon gag domain	-__GO:0003676|GO:0008270__GO:0003676|GO:0008270__-
CopciAB_1000522.T0	IPR001878	Zinc finger, CCHC-type	GO:0003676|GO:0008270
CopciAB_1000523.T0	IPR001878__IPR036875__IPR032567__IPR045358	Zinc finger, CCHC-type__Zinc finger, CCHC-type superfamily__LDOC1-related__Ty3 transposon capsid-like protein	GO:0003676|GO:0008270__GO:0003676|GO:0008270__-__-
CopciAB_1000524.T0	IPR046528	Domain of unknown function DUF6593	-
CopciAB_1000526.T0	IPR012337__IPR003165__IPR036397__IPR036085__IPR014811__IPR032474	Ribonuclease H-like superfamily__Piwi domain__Ribonuclease H superfamily__PAZ domain superfamily__Argonaute, linker 1 domain__Protein argonaute, N-terminal	-__GO:0003676__GO:0003676__GO:0005515__-__-
CopciAB_1000537.T0	IPR046528	Domain of unknown function DUF6593	-
CopciAB_1000548.T0	IPR012337__IPR044730__IPR043502	Ribonuclease H-like superfamily__Ribonuclease H-like domain, plant type__DNA/RNA polymerase superfamily	-__-__-
CopciAB_1000550.T0	IPR045340	Domain of unknown function DUF6533	-
CopciAB_1000559.T0	IPR043502__IPR036397__IPR013103	DNA/RNA polymerase superfamily__Ribonuclease H superfamily__Reverse transcriptase, RNA-dependent DNA polymerase	-__GO:0003676__-
CopciAB_1000564.T0	IPR001878__IPR036875__IPR032567	Zinc finger, CCHC-type__Zinc finger, CCHC-type superfamily__LDOC1-related	GO:0003676|GO:0008270__GO:0003676|GO:0008270__-
CopciAB_1000579.T0	IPR012592__IPR027652	PROCN domain__Pre-mRNA-processing-splicing factor 8	GO:0000398__GO:0000398|GO:0005681
CopciAB_1000580.T0	IPR003653__IPR038765	Ulp1 protease family, C-terminal catalytic domain__Papain-like cysteine peptidase superfamily	GO:0006508|GO:0008234__-
CopciAB_1000581.T0	IPR036047__IPR001810	F-box-like domain superfamily__F-box domain	GO:0005515__GO:0005515
CopciAB_1000582.T0	IPR036322__IPR001680__IPR015943	WD40-repeat-containing domain superfamily__WD40 repeat__WD40/YVTN repeat-like-containing domain superfamily	GO:0005515__GO:0005515__GO:0005515
CopciAB_1000592.T0	IPR032675	Leucine-rich repeat domain superfamily	-
CopciAB_1000598.T0	IPR018520__IPR001441__IPR036424	Di-trans-poly-cis-decaprenylcistransferase-like, conserved site__Decaprenyl diphosphate synthase-like__Decaprenyl diphosphate synthase-like superfamily	GO:0016765__GO:0016765__GO:0016765
CopciAB_1000603.T0	IPR001878__IPR036875__IPR032567	Zinc finger, CCHC-type__Zinc finger, CCHC-type superfamily__LDOC1-related	GO:0003676|GO:0008270__GO:0003676|GO:0008270__-
CopciAB_1000619.T0	IPR043502__IPR013103	DNA/RNA polymerase superfamily__Reverse transcriptase, RNA-dependent DNA polymerase	-__-
CopciAB_1000629.T0	IPR029058	Alpha/Beta hydrolase fold	-
CopciAB_1000638.T0	IPR036345__IPR020568__IPR027408__IPR001247	Exoribonuclease, PH domain 2 superfamily__Ribosomal protein S5 domain 2-type fold__PNPase/RNase PH domain superfamily__Exoribonuclease, phosphorolytic domain 1	-__-__-__-
CopciAB_1000643.T0	IPR045340	Domain of unknown function DUF6533	-
CopciAB_1000672.T0	IPR001722__IPR013320__IPR037019	Glycoside hydrolase, family 7__Concanavalin A-like lectin/glucanase domain superfamily__Glycoside hydrolase family 7, catalytic domain superfamily	GO:0004553|GO:0005975__-__GO:0004553|GO:0005975
CopciAB_1000675.T0	IPR025714__IPR029063	Methyltransferase domain__S-adenosyl-L-methionine-dependent methyltransferase superfamily	-__-
CopciAB_1000682.T0	IPR007373__IPR007371__IPR016966__IPR036759__IPR006282__IPR036371	Thiamin pyrophosphokinase, thiamin-binding domain__Thiamin pyrophosphokinase, catalytic domain__Thiamin pyrophosphokinase, eukaryotic__Thiamin pyrophosphokinase, catalytic domain superfamily__Thiamin pyrophosphokinase__Thiamin pyrophosphokinase, thiamin-binding domain superfamily	GO:0009229|GO:0030975__GO:0004788|GO:0005524|GO:0009229__GO:0004788|GO:0005524|GO:0009229__GO:0004788|GO:0005524|GO:0009229__GO:0004788|GO:0006772__GO:0009229
CopciAB_1000687.T0	IPR011009__IPR004166	Protein kinase-like domain superfamily__MHCK/EF2 kinase	-__GO:0004674|GO:0005524|GO:0006468
CopciAB_1000690.T0	IPR009288__IPR013024__IPR045038__IPR036568	Gamma-glutamylcyclotransferase, AIG2-like domain__Gamma-glutamyl cyclotransferase-like__Protein AIG2-like__Gamma-glutamyl cyclotransferase-like superfamily	-__-__-__-
CopciAB_1000692.T0	IPR001623__IPR036869	DnaJ domain__Chaperone J-domain superfamily	-__-
CopciAB_1000699.T0	IPR032567__IPR005162	LDOC1-related__Retrotransposon gag domain	-__-
CopciAB_1000701.T0	IPR001878__IPR045358__IPR036875	Zinc finger, CCHC-type__Ty3 transposon capsid-like protein__Zinc finger, CCHC-type superfamily	GO:0003676|GO:0008270__-__GO:0003676|GO:0008270
CopciAB_1000703.T0	IPR003653__IPR038765__IPR040521	Ulp1 protease family, C-terminal catalytic domain__Papain-like cysteine peptidase superfamily__Kyakuja-Dileera-Zisupton transposase	GO:0006508|GO:0008234__-__-
CopciAB_1000706.T0	IPR017956	AT hook, DNA-binding motif	GO:0003677
CopciAB_1000709.T0	IPR005162	Retrotransposon gag domain	-
CopciAB_1000714.T0	IPR005162__IPR032567	Retrotransposon gag domain__LDOC1-related	-__-
CopciAB_1000717.T0	IPR001878__IPR032567__IPR005162__IPR036875	Zinc finger, CCHC-type__LDOC1-related__Retrotransposon gag domain__Zinc finger, CCHC-type superfamily	GO:0003676|GO:0008270__-__-__GO:0003676|GO:0008270
CopciAB_1000737.T0	IPR016040__IPR036291	NAD(P)-binding domain__NAD(P)-binding domain superfamily	-__-
CopciAB_1000749.T0	IPR000571__IPR032378__IPR036855	Zinc finger, CCCH-type__ZC3H15/TMA46 family, C-terminal__Zinc finger, CCCH-type superfamily	GO:0046872__-__GO:0046872
CopciAB_1000755.T0	IPR001878	Zinc finger, CCHC-type	GO:0003676|GO:0008270
CopciAB_1000764.T0	IPR041320__IPR040521	CxC1-like cysteine cluster associated with KDZ transposases__Kyakuja-Dileera-Zisupton transposase	-__-
CopciAB_1000800.T0	IPR001387__IPR010982	Cro/C1-type helix-turn-helix domain__Lambda repressor-like, DNA-binding domain superfamily	-__GO:0003677
CopciAB_1000802.T0	IPR011330__IPR002509	Glycoside hydrolase/deacetylase, beta/alpha-barrel__NodB homology domain	GO:0005975__GO:0005975|GO:0016810
CopciAB_1000803.T0	IPR036397__IPR012337__IPR001584	Ribonuclease H superfamily__Ribonuclease H-like superfamily__Integrase, catalytic core	GO:0003676__-__GO:0015074
CopciAB_1000806.T0	IPR037518__IPR000555	MPN domain__JAB1/MPN/MOV34 metalloenzyme domain	-__GO:0005515|GO:0008233|GO:0008237
CopciAB_1000810.T0	IPR001810	F-box domain	GO:0005515
CopciAB_1000812.T0	IPR011009__IPR000719	Protein kinase-like domain superfamily__Protein kinase domain	-__GO:0004672|GO:0005524|GO:0006468
CopciAB_1000814.T0	IPR005162__IPR032567	Retrotransposon gag domain__LDOC1-related	-__-
CopciAB_1000815.T0	IPR036770__IPR027417__IPR002110	Ankyrin repeat-containing domain superfamily__P-loop containing nucleoside triphosphate hydrolase__Ankyrin repeat	-__-__GO:0005515
CopciAB_1000816.T0	IPR005162__IPR032567	Retrotransposon gag domain__LDOC1-related	-__-
CopciAB_1000831.T0	IPR040976__IPR011009	Fungal-type protein kinase__Protein kinase-like domain superfamily	-__-
CopciAB_1000835.T0	IPR036875__IPR001878__IPR045358__IPR032567	Zinc finger, CCHC-type superfamily__Zinc finger, CCHC-type__Ty3 transposon capsid-like protein__LDOC1-related	GO:0003676|GO:0008270__GO:0003676|GO:0008270__-__-
CopciAB_1000856.T0	IPR008922__IPR002227	Di-copper centre-containing domain superfamily__Tyrosinase copper-binding domain	-__GO:0016491
CopciAB_1000866.T0	IPR003395__IPR027417	RecF/RecN/SMC, N-terminal__P-loop containing nucleoside triphosphate hydrolase	-__-
CopciAB_1000880.T0	IPR035971__IPR000254	Cellulose-binding domain superfamily__Cellulose-binding domain, fungal	GO:0005576|GO:0005975|GO:0030248__GO:0005576|GO:0005975|GO:0030248
CopciAB_1000881.T0	IPR045564	Protein of unknown function DUF5910	-
CopciAB_1000886.T0	IPR005162__IPR032567	Retrotransposon gag domain__LDOC1-related	-__-
CopciAB_1000887.T0	IPR012337__IPR001584__IPR036397	Ribonuclease H-like superfamily__Integrase, catalytic core__Ribonuclease H superfamily	-__GO:0015074__GO:0003676
CopciAB_1000898.T0	IPR002110__IPR036770	Ankyrin repeat__Ankyrin repeat-containing domain superfamily	GO:0005515__-
CopciAB_1000901.T0	IPR001705__IPR038584__IPR011332	Ribosomal protein L33__Ribosomal protein L33 superfamily__Zinc-binding ribosomal protein	GO:0003735|GO:0005840|GO:0006412__-__GO:0006412
CopciAB_1000905.T0	IPR005162	Retrotransposon gag domain	-
CopciAB_1000915.T0	IPR032675	Leucine-rich repeat domain superfamily	-
CopciAB_1000920.T0	IPR000210__IPR011333	BTB/POZ domain__SKP1/BTB/POZ domain superfamily	GO:0005515__-
CopciAB_1000924.T0	IPR036875__IPR032567__IPR045358__IPR001878	Zinc finger, CCHC-type superfamily__LDOC1-related__Ty3 transposon capsid-like protein__Zinc finger, CCHC-type	GO:0003676|GO:0008270__-__-__GO:0003676|GO:0008270
CopciAB_1000925.T0	IPR005162	Retrotransposon gag domain	-
CopciAB_1000945.T0	IPR005162	Retrotransposon gag domain	-
CopciAB_1000968.T0	IPR000571__IPR041367__IPR036855	Zinc finger, CCCH-type__E3 ligase, CCCH-type zinc finger__Zinc finger, CCCH-type superfamily	GO:0046872__-__GO:0046872
CopciAB_1000969.T0	IPR001498__IPR036956__IPR020568__IPR023582	Impact, N-terminal__Impact, N-terminal domain superfamily__Ribosomal protein S5 domain 2-type fold__Impact family	-__-__-__-
CopciAB_1000974.T0	IPR028036	Domain of unknown function DUF4536	-
CopciAB_1000983.T0	IPR036875__IPR001878	Zinc finger, CCHC-type superfamily__Zinc finger, CCHC-type	GO:0003676|GO:0008270__GO:0003676|GO:0008270
CopciAB_1000985.T0	IPR013320__IPR000757	Concanavalin A-like lectin/glucanase domain superfamily__Glycoside hydrolase family 16	-__GO:0004553|GO:0005975
CopciAB_1001007.T0	IPR032675	Leucine-rich repeat domain superfamily	-
CopciAB_1001018.T0	IPR000198__IPR008936__IPR039767	Rho GTPase-activating protein domain__Rho GTPase activation protein__RalA-binding protein 1	GO:0007165__-__GO:0005096|GO:0007264|GO:0031267
CopciAB_1001031.T0	IPR036236__IPR014898__IPR039999	Zinc finger C2H2 superfamily__Zinc finger, C2H2, LYAR-type__Cell growth-regulating nucleolar protein	-__-__GO:0003677
CopciAB_1001054.T0	IPR036249__IPR004045	Thioredoxin-like superfamily__Glutathione S-transferase, N-terminal	-__-
CopciAB_1001056.T0	IPR021109	Aspartic peptidase domain superfamily	-
CopciAB_1001059.T0	IPR005162	Retrotransposon gag domain	-
CopciAB_1001063.T0	IPR032675	Leucine-rich repeat domain superfamily	-
CopciAB_1001069.T0	IPR041078	Plavaka transposase	-
CopciAB_1001077.T0	IPR045339	Domain of unknown function DUF6534	-
CopciAB_1001089.T0	IPR027268__IPR001842	Peptidase M4/M1, CTD superfamily__Peptidase M36, fungalysin	-__GO:0004222|GO:0005615|GO:0008270
CopciAB_1001098.T0	IPR010516__IPR042534	Sin3 associated polypeptide p18__Sin3 associated polypeptide p18 superfamily	-__-
CopciAB_1001101.T0	IPR013103__IPR043502	Reverse transcriptase, RNA-dependent DNA polymerase__DNA/RNA polymerase superfamily	-__-
CopciAB_1001105.T0	IPR021109	Aspartic peptidase domain superfamily	-
CopciAB_1001126.T0	IPR001810__IPR032675	F-box domain__Leucine-rich repeat domain superfamily	GO:0005515__-
